id,compartment,metabolite_dcid,metabolic_compartment_dcid
m02690s,dcs:CellularCompartmentExtracellular,bio/CHEMBL460025,bio/m02690s
m02691c,dcs:CellularCompartmentCytosol,bio/HMDB0006487,bio/m02691c
m02691l,dcs:CellularCompartmentLysosome,bio/HMDB0006487,bio/m02691l
m02691m,dcs:CellularCompartmentMitochondria,bio/HMDB0006487,bio/m02691m
m02691s,dcs:CellularCompartmentExtracellular,bio/HMDB0006487,bio/m02691s
m02692c,dcs:CellularCompartmentCytosol,bio/MNXM3687,bio/m02692c
m02692l,dcs:CellularCompartmentLysosome,bio/MNXM3687,bio/m02692l
m02692m,dcs:CellularCompartmentMitochondria,bio/MNXM3687,bio/m02692m
m02692s,dcs:CellularCompartmentExtracellular,bio/MNXM3687,bio/m02692s
m02693c,dcs:CellularCompartmentCytosol,bio/pentanoyl-[ACP],bio/m02693c
m02694c,dcs:CellularCompartmentCytosol,bio/HMDB0013037,bio/m02694c
m02694m,dcs:CellularCompartmentMitochondria,bio/HMDB0013037,bio/m02694m
m02695c,dcs:CellularCompartmentCytosol,bio/pentyl radical,bio/m02695c
m02696c,dcs:CellularCompartmentCytosol,bio/CHEMBL1235228,bio/m02696c
m02696m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1235228,bio/m02696m
m02697c,dcs:CellularCompartmentCytosol,bio/PE-PS-LD pool,bio/m02697c
m02698r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM20351,bio/m02698r
m02699c,dcs:CellularCompartmentCytosol,bio/HMDB0011655,bio/m02699c
m02700c,dcs:CellularCompartmentCytosol,bio/HMDB0011654,bio/m02700c
m02701c,dcs:CellularCompartmentCytosol,bio/MNXM93774,bio/m02701c
m02702c,dcs:CellularCompartmentCytosol,bio/MNXM92541,bio/m02702c
m02703c,dcs:CellularCompartmentCytosol,bio/MNXM162979,bio/m02703c
m02704c,dcs:CellularCompartmentCytosol,bio/MNXM163551,bio/m02704c
m02705c,dcs:CellularCompartmentCytosol,bio/MNXM9007,bio/m02705c
m02706c,dcs:CellularCompartmentCytosol,bio/MNXM20381,bio/m02706c
m02707c,dcs:CellularCompartmentCytosol,bio/MNXM6377,bio/m02707c
m02708c,dcs:CellularCompartmentCytosol,bio/MNXM9008,bio/m02708c
m02709c,dcs:CellularCompartmentCytosol,bio/MNXM93793,bio/m02709c
m02710c,dcs:CellularCompartmentCytosol,bio/MNXM2855,bio/m02710c
m02711c,dcs:CellularCompartmentCytosol,bio/CHEMBL1373981,bio/m02711c
m02711m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1373981,bio/m02711m
m02712c,dcs:CellularCompartmentCytosol,bio/CHEMBL444711,bio/m02712c
m02712s,dcs:CellularCompartmentExtracellular,bio/CHEMBL444711,bio/m02712s
m02713c,dcs:CellularCompartmentCytosol,bio/CHEMBL469537,bio/m02713c
m02713m,dcs:CellularCompartmentMitochondria,bio/CHEMBL469537,bio/m02713m
m02714c,dcs:CellularCompartmentCytosol,bio/HMDB0002179,bio/m02714c
m02715m,dcs:CellularCompartmentMitochondria,bio/MNXM9017,bio/m02715m
m02716c,dcs:CellularCompartmentCytosol,bio/MNXM74716,bio/m02716c
m02716n,dcs:CellularCompartmentNucleus,bio/MNXM74716,bio/m02716n
m02717m,dcs:CellularCompartmentMitochondria,bio/MNXM12647,bio/m02717m
m02718c,dcs:CellularCompartmentCytosol,bio/CHEMBL610,bio/m02718c
m02719c,dcs:CellularCompartmentCytosol,bio/CHEMBL1233464,bio/m02719c
m02719m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1233464,bio/m02719m
m02720c,dcs:CellularCompartmentCytosol,bio/CHEMBL1044,bio/m02720c
m02720m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1044,bio/m02720m
