reactionID,hm_38_gene,hm_19_gene
bio/PROARGCYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROASNCYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROCYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROGLNPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROGLULYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROHISt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROHISTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROLEUARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROLYSPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROPHEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROPROARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROPROPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROTRPLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROTRPTHRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROVALGLNt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERARGALAt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERARGTRPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERCYSARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERGLYGLUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERLYSHISt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERPHELYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/SERTRPHISt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRARGTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRASNTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRGLNGLUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRGLNTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRHISHISt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRILEARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRMETARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRPHEARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRSERARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRTHRARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/THRTYRMETt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPALAPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPARGALAt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPASPASPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPGLNGLNt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPGLUGLYt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPGLULEUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPGLUPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPGLUTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/TRPGLYLEUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
